Titel,Zeitschrift,Zeitschriftkürzel,Land
Challenges towards selecting Saudi Arabia as an arbitral seat for foreign investors,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
ECJ Case 27/76 United Brands v Commission and Case 85/76 Hoffmann-La Roche analyzed in the framework of Albanian Competition law,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Didactics of intercultural communication and business German language,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Demographic transition - Global population patterns and trends: The case of Albania,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
About the Journal,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Comparison of extraction techniques on determination of PAHs in drinking water samples,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Basis for the legal registration of non-traditional trademarks in North Macedonia,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
The use of short forms in some of Kosovo’s written media,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
"Victims of the crimes of genocide, war crimes and terrorist acts","Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Analysis Albanian Legal Framework in Light of EU Legal Framework on Waste Management,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
United Nation’s peacekeeping operations as a tool for the application of the right to self-determination,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
"Laboratory testing of women in reproductive age for infection sifilis, through detection of IgG and IgM antibodies","Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
The effects of the European integration on the constitutional system of the Republic of North Macedonia and the role of the Constitutional Court,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Monitoring changes in antioxidants compounds in Olive oil related to ahead and after heat treatment and adding Vitamin E,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Criminal liability of commercial companies,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
"The Place and Role of International Law in the Albanian Legal System and Practice, the case of ECtHR decisions","Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
About the Journal,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Insight into the legal concept of contract according to civil law and common law,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
"Mediation, a method that is taking off in Albania","Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
The Vietnamese Communist Party in today Vietnam,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Legal relation between legal subjects regulated according to the Civil Code of the Republic of Albania 1994,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
"The role of government policies in the reorganization of the banking financial system, to balance the destabilizing effects post Covid-19","Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
The impact of administrative privileges on administrative jurisdiction independence in the Saudi law,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Market imperfection and health insurance contract compliance: incentive mechanisms,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Albanian Commercial law towards EU,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Bertolt Brecht’s epic theater: Fostering critical thought and social transformation,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
About the Journal,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Autistic children and parental stress,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Interactive Methods in Teaching Process,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Legal instruments of citizen participation in decision-making processes of the public administration in the Republic of Kosovo - Comparative aspects with countries in the region,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Advantages of interactive teaching in early school age,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Cultural and heritage values as a potential for the development of the tourism in Peja -Republic of Kosovo,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Educational practices and the contribution of social and cultural approaches to the family,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
“Employability and Higher Education Institutions’ graduates in North Macedonia”,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
The family and its role as a “criminogenic factor” in the submission of juvenile delinquency,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
