Autor ohne Grad,Autor mit Grad,Titel,Untertitel,Zeitschrift,Zeitschriftkürzel,Volume,Issue,Datum,Seitennummer,PDF vom Artikel (Druckversion) (Link),PDF vom Artikel (Digitalversion) (Link),DOI vom Artikel,Bildschirmansicht vom Artikel (Link),Abstract von der Gesamtausgabe (Bildschirmansicht) (Link),PDF_Gesamtausgabe_Link_Druck,Abstract vom Artikel,Rubrik,Gesamtausgabe (Bildschirmansicht) (Link),Land
Abdulelah Alsahli,,Challenges towards selecting Saudi Arabia as an arbitral seat for foreign investors,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 9 No. 2 - July 2023,,,,https://iipccl.org/wp-content/uploads/2023/09/01.pdf,,,,,,,,,Österreich
"Endri Papajorgji, Artela Roshi",,ECJ Case 27/76 United Brands v Commission and Case 85/76 Hoffmann-La Roche analyzed in the framework of Albanian Competition law,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 9 No. 2 - July 2023,,,,https://iipccl.org/wp-content/uploads/2023/09/02.pdf,,,,,,,,,Österreich
"Jonida Gjuzi-Bushi, Ema Kristo",,Didactics of intercultural communication and business German language,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 9 No. 2 - July 2023,,,,https://iipccl.org/wp-content/uploads/2023/09/03.pdf,,,,,,,,,Österreich
Lindita Kiri,,Demographic transition - Global population patterns and trends: The case of Albania,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 9 No. 2 - July 2023,,,,https://iipccl.org/wp-content/uploads/2023/09/04.pdf,,,,,,,,,Österreich
"Lena Hoffman, Endri Papajorgji, ,",,About the Journal,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 9 No. 1 - March 2023,,,,https://iipccl.org/wp-content/uploads/2023/06/00-2.pdf,,,,,,,,,Österreich
Jonida Canaj,,Comparison of extraction techniques on determination of PAHs in drinking water samples,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 9 No. 1 - March 2023,,,,https://iipccl.org/wp-content/uploads/2023/03/01.pdf,,,,,,,,,Österreich
"Safet Emruli, Dardan Sulejmani",,Basis for the legal registration of non-traditional trademarks in North Macedonia,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 9 No. 1 - March 2023,,,,https://iipccl.org/wp-content/uploads/2023/03/02.pdf,,,,,,,,,Österreich
Sindorela Doli-Kryeziu,,The use of short forms in some of Kosovo’s written media,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 9 No. 1 - March 2023,,,,https://iipccl.org/wp-content/uploads/2023/03/03.pdf,,,,,,,,,Österreich
Arta Mehmeti Ademi,,"Victims of the crimes of genocide, war crimes and terrorist acts",,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 9 No. 1 - March 2023,,,,https://iipccl.org/wp-content/uploads/2023/03/04.pdf,,,,,,,,,Österreich
Arkeld Bozo,,Analysis Albanian Legal Framework in Light of EU Legal Framework on Waste Management,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 9 No. 1 - March 2023,,,,https://iipccl.org/wp-content/uploads/2023/03/05.pdf,,,,,,,,,Österreich
